title,author,length
Recessional,David Mamet,Length: 6 hrs and 20 mins
My Evil Mother,Margaret Atwood,Length: 57 mins
Match Game,Craig Alanson,Length: 22 hrs and 13 mins
He Who Fights with Monsters 6,"Shirtaloon,Travis Deverell",Length: 15 hrs and 51 mins
Fracture,Xander Boyce,Length: 10 hrs and 32 mins
Say It's Forever,A.L. Jackson,Length: 11 hrs and 33 mins
8 Secrets to Powerful Manifesting,Mandy Morris,Length: 6 hrs and 44 mins
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
The Truth and Beauty,Andrew Klavan,Length: 6 hrs and 29 mins
Last Resort,K. Bromberg,Length: 7 hrs and 26 mins
Idiots,Laura Clery,Length: 8 hrs and 16 mins
Praise,Sara Cate,Length: 10 hrs and 37 mins
Condemning the Heavens: Publisher's Pack 5,Tinalynge,Length: 19 hrs and 52 mins
The Family Holiday,Shalini Boland,Length: 7 hrs and 36 mins
First Fist,TJ Reynolds,Length: 26 hrs and 46 mins
We Don't Know Ourselves,Fintan O'Toole,Length: 22 hrs and 11 mins
City World,B.V. Larson,Length: 13 hrs and 20 mins
Ruin Me,D. A. Young,Length: 11 hrs and 34 mins
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
Sea of Tranquility,Emily St. John Mandel,Length: 5 hrs and 47 mins
Perfect Storm 1,Bobby Akart,Length: 6 hrs and 8 mins
Immortal Mana,Bruce Sentar,Length: 10 hrs and 6 mins
The Broken One,Brittney Sahin,Length: 13 hrs and 57 mins
Southpaw,JD Kirk,Length: 12 hrs and 31 mins
The Investigator,John Sandford,Length: 13 hrs and 2 mins
Dear Mr. Brody,A.M. Johnson,Length: 9 hrs and 30 mins
The Men We Need,Brant Hansen,Length: 5 hrs and 3 mins
The Ink Black Heart,Robert Galbraith,Length: 20 hrs
Forging Zero,Sara King,Length: 21 hrs and 54 mins
Taste,Melanie Harlow,Length: 8 hrs and 15 mins
Kick Fear in the Face,Thea Wood,Length: 6 hrs and 44 mins
The Mothers and Daughters of the Bible Speak,Shannon Bream,Length: 7 hrs and 18 mins
The Fiat Standard,Saifedean Ammous,Length: 12 hrs and 44 mins
Malicious Intent,Lynn Blackburn,Length: 11 hrs and 10 mins
Nautical Noobs,Ryan Rimmel,Length: 16 hrs and 57 mins
Sacred Spaces,Susan D. Fay PhD,Length: 5 hrs and 27 mins
Adam Cam's Savage Wisdom,Adam Cam,Length: 1 hr and 49 mins
Assassinorum: Kingmaker,Robert Rath,Length: 11 hrs and 12 mins
Grease the Wheel,Amanda M. Lee,Length: 9 hrs and 19 mins
Tempting Auzed,Victoria Aveline,Length: 9 hrs and 53 mins
Kiwi Gold,Rosalind James,Length: 14 hrs and 58 mins
"You, Happier",Daniel Amen,Length: 10 hrs and 23 mins
All the Pretty People,Barbara Freethy,Length: 10 hrs and 51 mins
Mr. Bloomsbury,Louise Bay,Length: 7 hrs and 29 mins
Tutoring the Player,Rebecca Jenshak,Length: 8 hrs and 30 mins
The Internet Is Not What You Think It Is,Justin E. H. Smith,Length: 6 hrs and 3 mins
Endure,Cameron Hanes,Length: 7 hrs and 42 mins
The Sins of Our Fathers,James S. A. Corey,Length: 2 hrs and 23 mins
A Pound of Cure,Mark Goodwin,Length: 7 hrs and 14 mins
The Darkest Temptation,Danielle Lori,Length: 15 hrs and 33 mins
Allow Me to Retort,Elie Mystal,Length: 8 hrs and 37 mins
Scars and Stripes,"Tim Kennedy,Nick Palmisciano",Length: 17 hrs
In the Blood,Jack Carr,Length: 14 hrs and 30 mins
Queen's Hope,E. K. Johnston,Length: 6 hrs and 40 mins
The Houndsman 2,J Pal,Length: 12 hrs and 57 mins
The Goldsmith's Conspiracy,C.J. Archer,Length: 8 hrs and 48 mins
"I Don't Want to Be the Hero, Vol. 1",M.E. Thorne,Length: 8 hrs and 31 mins
"Taking Charge of Adult ADHD, Second Edition","Russell A. Barkley PhD,Christine M. Benton",Length: 10 hrs and 48 mins
How to Get Paid for What You Know,Graham Cochrane,Length: 6 hrs and 12 mins
Strange New World,"Carl R. Trueman,Ryan T. Anderson - foreword",Length: 5 hrs and 14 mins
Memphis,Tara M. Stringfellow,Length: 9 hrs and 23 mins
Rainhorn,Sarah Lin,Length: 6 hrs and 52 mins
Wayward Galaxy 4,"Jason Anspach,J.N. Chaney",Length: 13 hrs and 2 mins
My Perfect Daughter,Sarah Denzil,Length: 9 hrs and 58 mins
Brambles and Thorns,J.T. Wright,Length: 19 hrs and 31 mins
Riot Act,Callie Hart,Length: 15 hrs and 5 mins
The Warlock Queen,Quinn Loftis,Length: 10 hrs and 1 min
Exclusive,Melissa Brayden,Length: 9 hrs and 15 mins
Breaking the Speed Limit,Melanie Moreland,Length: 7 hrs and 32 mins
Tower Climber 4,Jakob Tanner,Length: 14 hrs and 14 mins
Living Untethered,Michael A. Singer,Length: 6 hrs
Damaged Grump,Nicole Snow,Length: 14 hrs and 58 mins
Crucial Conversations (Third Edition),"Joseph Grenny,Kerry Patterson,Ron McMillan,Al Switzler,Emily Gregory",Length: 7 hrs and 45 mins
Wrongfully Infused,H.Y. Hanna,Length: 8 hrs and 32 mins
Thick as Thieves,Lucy Lennox,Length: 8 hrs and 41 mins
