book_title,book_author,book_length
Recessional,David Mamet,Length: 6 hrs and 20 mins
My Evil Mother,Margaret Atwood,Length: 57 mins
Match Game,Craig Alanson,Length: 22 hrs and 13 mins
He Who Fights with Monsters 6,"Shirtaloon,Travis Deverell",Length: 15 hrs and 51 mins
Fracture,Xander Boyce,Length: 10 hrs and 32 mins
Say It's Forever,A.L. Jackson,Length: 11 hrs and 33 mins
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
8 Secrets to Powerful Manifesting,Mandy Morris,Length: 6 hrs and 44 mins
The Truth and Beauty,Andrew Klavan,Length: 6 hrs and 29 mins
Last Resort,K. Bromberg,Length: 7 hrs and 26 mins
Idiots,Laura Clery,Length: 8 hrs and 16 mins
Praise,Sara Cate,Length: 10 hrs and 37 mins
Condemning the Heavens: Publisher's Pack 5,Tinalynge,Length: 19 hrs and 52 mins
The Family Holiday,Shalini Boland,Length: 7 hrs and 36 mins
First Fist,TJ Reynolds,Length: 26 hrs and 46 mins
We Don't Know Ourselves,Fintan O'Toole,Length: 22 hrs and 11 mins
City World,B.V. Larson,Length: 13 hrs and 20 mins
Ruin Me,D. A. Young,Length: 11 hrs and 34 mins
Things We Never Got Over,Lucy Score,Length: 16 hrs and 1 min
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
